Date,Open,High,Low,Close
12/2022,"17,102","18,338","16,300","16,549"
11/2022,"20,407","21,486","15,508","17,102"
10/2022,"19,425","21,020","18,271","20,407"
09/2022,"20,207","22,733","18,189","19,420"
08/2022,"23,804","25,199","19,544","20,207"
07/2022,"18,731","24,613","18,706","23,804"
06/2022,"31,757","31,957","17,630","18,731"
05/2022,"38,332","39,890","25,805","31,757"
04/2022,"45,760","47,367","37,746","38,332"
03/2022,"41,650","48,174","37,187","45,760"
02/2022,"38,444","45,758","34,413","41,650"
01/2022,"46,338","47,946","33,070","38,444"
12/2021,"47,239","48,564","45,715","46,322"
